score,std,epoch_mean,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_seed,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.37161761143313,0.033874398051083,949,MEE,minibatch 0.05,1000,0,10,1,,[100],identity,relu,0.01,0.9,1E-05,0
1.37239121901583,0.083984266470942,919,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.75,0.001,0
1.37370238433366,0.118874967561469,906,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.01,0.9,1E-05,0
1.37417169370194,0.049627487712262,976,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,tanh,0.001,0.9,0,0
1.3770000876728,0.032360691213463,979,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.01,0.9,1E-05,0
1.37733166838168,0.013987275435505,984,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,relu,0.01,0,1E-05,0
1.3801184637571,0.069678327970447,968,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,tanh,0.001,0.9,0.0001,0
1.38092843979117,0.070884254816505,850,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 50]",identity,sigmoid 1,0.1,0.9,0.001,0
1.38179594513783,0.087573101860543,988,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.01,0,0,0
1.38219379358294,0.044736079052944,969,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.1,0,0,0
1.3836316285685,0.052974976824531,972,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,tanh,0.001,0.9,1E-05,0
1.38481859644773,0.054229679781401,949,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50, 20]",identity,sigmoid 1,0.01,0.9,0,0
1.38500846312784,0.031359893400526,980,MEE,minibatch 0.05,1000,0,10,1,,"[50, 50]",identity,tanh,0.001,0.9,1E-05,0
1.38666653185364,0.067933112139771,981,MEE,minibatch 0.05,1000,0,10,1,,"[50, 20]",identity,relu,0.01,0.9,0,0
