score,std,nn_error_calculator,nn_learning_algorithm,nn_epochs_limit,nn_epsilon,nn_patience,nn_n_init,nn_save_internal_networks,arch_size_hidden_layers,arch_activation,arch_activation_hidden,arch_eta,arch_alpha,arch_alambd,arch_eta_decay
1.7685032190423022,0.19237155202378134,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.01,0.8,0,0
1.768530154788565,0.244044985066296,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.005,0.9,0.0001,0
1.7738975327833533,0.16414138946199278,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.6,0.0001,0
1.7746925523819748,0.22373533290032174,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,relu,0.015,0.8,0.0001,0
1.7823537420735591,0.18725364494720728,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,relu,0.01,0.9,0.001,0
1.7823604052018147,0.2419051236497905,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.01,0.8,0.001,0
1.7839931076482383,0.16390778745610762,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.7,0.0001,0
1.7846278314651047,0.20178662895418187,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.005,0.9,0.001,0
1.7896832207540279,0.24078296921961345,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.6,0,0
1.7914762727740565,0.27751273487457406,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.01,0.8,0.0001,0
1.803232435710434,0.23354599639208073,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.7,0,0
1.8136436858432439,0.21920199031909576,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.6,0.001,0
1.8188643032312193,0.15794704278024477,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.005,0.9,0.001,0
1.8204923092185628,0.32098364523250966,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.6,0.0001,0
1.822935218331494,0.32156483913039796,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.01,0.8,0,0
1.8265830734976543,0.09633302582505739,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.01,0.8,0.001,0
1.8301635282403026,0.16224653696826918,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,tanh,0.015,0.6,0,0
1.83102828318513,0.22159762944123476,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.5,0,0
1.8312995327667476,0.20634285068675567,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,relu,0.015,0.8,0,0
1.832076556144608,0.2135324595884034,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.015,0.7,0.0001,0
1.8339424093775396,0.2142627403124835,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.005,0.9,0.001,0
1.8339906702402327,0.1539352563471519,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.015,0.7,0,0
1.840171004476646,0.15418912440501747,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.015,0.5,0.0001,0
1.8442001346809096,0.31685632012053855,MSE,minibatch 0.1,100,0,10,3,False,"(150,)",identity,relu,0.015,0.8,0,0
1.846151799033192,0.24380723416476996,MSE,minibatch 0.1,100,0,10,3,False,"(100,)",identity,tanh,0.015,0.7,0.001,0
1.8479303135612963,0.22081783959804444,MSE,minibatch 0.1,100,0,10,3,False,"(200,)",identity,tanh,0.01,0.8,0.001,0
1.8503727989257275,0.15510200392847356,MSE,minibatch 0.1,100,0,10,3,False,"(50,)",identity,tanh,0.01,0.7,0.001,0
